"","year","est","lwr","upr","log_est","se","sub_div","species","est_t","lwr_t","upr_t"
"1",1993,12353730.7510244,8874722.30598105,18167085.1941826,16.3336552320911,0.183536885434719,"25","cod",12353.7307510244,8874.72230598105,18167.0851941826
"2",1994,25202019.7229734,18341587.2913389,36484783.7070597,17.0519319352825,0.177855369435699,"25","cod",25202.0197229734,18341.5872913389,36484.7837070597
"3",1995,16899520.7415773,12787808.344993,23637994.459603,16.6541249525569,0.163307070715797,"25","cod",16899.5207415773,12787.808344993,23637.994459603
"4",1996,23806425.4417603,16491794.1002868,35654643.5371803,16.9874781002363,0.196264590679885,"25","cod",23806.4254417603,16491.7941002868,35654.6435371803
"5",1997,4274758.79448306,2753740.36778476,7074434.76206808,15.277393895419,0.232681359010514,"25","cod",4274.75879448306,2753.74036778476,7074.43476206808
"6",1998,6234636.84030659,4643033.93226513,8877181.21390594,15.6500346366346,0.169258616095297,"25","cod",6234.63684030659,4643.03393226513,8877.18121390594
"7",1999,7737643.73207744,5495763.84157189,11484458.8208235,15.8608685453297,0.178990818325917,"25","cod",7737.64373207744,5495.76384157189,11484.4588208235
"8",2000,9248507.61531163,6579216.23871139,13759545.203577,16.0482535413804,0.190586338109795,"25","cod",9248.50761531163,6579.21623871139,13759.545203577
"9",2001,10227910.763826,7522681.41689509,15706303.5949776,16.1560135704593,0.179379551018763,"25","cod",10227.910763826,7522.68141689509,15706.3035949776
"10",2002,21373547.4643703,15474863.3693686,32133272.5514695,16.8812892342899,0.185458818910709,"25","cod",21373.5474643703,15474.8633693686,32133.2725514695
"11",2003,16750666.437165,12634311.6442198,23515331.5292731,16.6440244706713,0.163135261757043,"25","cod",16750.666437165,12634.3116442198,23515.3315292731
"12",2004,9877162.62905431,7354703.64017295,14394498.3914973,16.1096670796508,0.175099312159243,"25","cod",9877.16262905431,7354.70364017295,14394.4983914973
"13",2005,15590033.9230555,12362369.7944877,19707757.4285906,16.5600566114926,0.122456686843638,"25","cod",15590.0339230555,12362.3697944877,19707.7574285906
"14",2006,19208447.6665151,14846329.3780463,25533872.5924234,16.7824232547675,0.135415023633953,"25","cod",19208.4476665151,14846.3293780463,25533.8725924234
"15",2007,21452873.5571919,17175662.5641386,27892148.6286763,16.886706529204,0.127306087706057,"25","cod",21452.8735571919,17175.6625641386,27892.1486286763
"16",2008,28993100.9166995,23585700.1505789,38128035.3818109,17.1843735817817,0.121439066473187,"25","cod",28993.1009166995,23585.7001505789,38128.035381811
